48842,14,,,,,,,,,,,,,,
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
39,8,77516,10,13,5,2,2,5,2,2174,0,40,40,0
50,7,83311,10,13,3,5,1,5,2,0,0,13,40,0
38,5,2.1565e+05,12,9,1,7,2,5,2,0,0,40,40,0
53,5,2.3472e+05,2,7,3,7,1,3,2,0,0,40,40,0
28,5,3.3841e+05,10,13,3,11,6,3,1,0,0,40,6,0
37,5,2.8458e+05,13,14,3,5,6,5,1,0,0,40,40,0
49,5,1.6019e+05,7,5,4,9,2,3,1,0,0,16,24,0
52,7,2.0964e+05,12,9,3,5,1,5,2,0,0,45,40,1
31,5,45781,13,14,5,11,2,5,1,14084,0,50,40,1
42,5,1.5945e+05,10,13,3,5,1,5,2,5178,0,40,40,1
37,5,2.8046e+05,16,10,3,5,1,3,2,0,0,80,40,1
30,8,1.413e+05,10,13,3,11,1,2,2,0,0,40,20,1
23,5,1.2227e+05,10,13,5,2,4,5,1,0,0,30,40,0
32,5,2.0502e+05,8,12,5,13,2,3,2,0,0,50,40,0
40,5,1.2177e+05,9,11,3,4,1,2,2,0,0,40,1,1
34,5,2.4549e+05,6,4,3,15,1,1,2,0,0,45,27,0
25,7,1.7676e+05,12,9,5,6,4,5,2,0,0,35,40,0
32,5,1.8682e+05,12,9,5,8,5,5,2,0,0,40,40,0
38,5,28887,2,7,3,13,1,5,2,0,0,50,40,0
43,7,2.9218e+05,13,14,1,5,5,5,1,0,0,45,40,1
40,5,1.9352e+05,11,16,3,11,1,5,2,0,0,60,40,1
54,5,3.0215e+05,12,9,6,9,5,3,1,0,0,20,40,0
35,2,76845,7,5,3,6,1,3,2,0,0,40,40,0
43,5,1.1704e+05,2,7,3,15,1,5,2,0,2042,40,40,0
59,5,1.0902e+05,12,9,1,14,5,5,1,0,0,40,40,0
56,3,2.1685e+05,10,13,3,14,1,5,2,0,0,40,40,1
19,5,1.6829e+05,12,9,5,4,4,5,2,0,0,40,40,0
