year,state,city,school
1905,Ohio,Cleveland,Central
1905,Ohio,Cleveland,Central
1905,Ohio,Cleveland,Central
1905,Ohio,Cleveland,Central
1905,Ohio,Cleveland,Central
1906,Ohio,Cleveland,Central
1906,Ohio,Cleveland,Central
1906,Ohio,Cleveland,Central
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,California,Los-Angeles,Los-Angeles-High
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1908,Washington,Bellingham,Bellingham
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1909,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1910,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1911,Ohio,Cleveland,Central
1912,North-Carolina,Winston-Salem,Winston-City
1912,North-Carolina,Winston-Salem,Winston-City
1912,North-Carolina,Winston-Salem,Winston-City
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1912,Washington,Everett,Everett
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Alabama,Birmingham,Margaret-Allen
1913,Indiana,Jeffersonville,Jeffersonville
1913,Indiana,Jeffersonville,Jeffersonville
1913,Indiana,Jeffersonville,Jeffersonville
1913,Indiana,Jeffersonville,Jeffersonville
1913,Indiana,Jeffersonville,Jeffersonville
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1913,Ohio,Cleveland,Central
1914,North-Carolina,Raleigh,St-Marys
1914,North-Carolina,Raleigh,St-Marys
1914,North-Carolina,Raleigh,St-Marys
1914,North-Carolina,Raleigh,St-Marys
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1914,Ohio,Cleveland,Central
1915,California,Brentwood,Liberty-Union
1915,California,Brentwood,Liberty-Union
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Ohio,Cleveland,Central
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1915,Washington,Everett,Everett
1916,North-Carolina,Winston-Salem,Winston-Salem
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Ohio,Cleveland,Central
1916,Washington,Goldendale,Goldendale
1916,Washington,Goldendale,Goldendale
1916,Washington,Goldendale,Goldendale
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Ohio,Cleveland,Central
1919,Pennsylvania,Pittsburgh,South
1919,Pennsylvania,Pittsburgh,South
1919,Pennsylvania,Pittsburgh,South
1919,Pennsylvania,Pittsburgh,South
1919,Pennsylvania,Pittsburgh,South
1922,Alabama,Birmingham,Jones-Valley
1922,Alabama,Birmingham,Jones-Valley
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1922,Pennsylvania,Pittsburgh,South
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1923,Pennsylvania,Pittsburgh,Allegheny
1924,North-Carolina,Reidsville,Reidsville
1925,Alabama,Birmingham,Jones-Valley
1925,Alabama,Birmingham,Jones-Valley
1925,Alabama,Birmingham,Jones-Valley
1925,Alabama,Birmingham,Jones-Valley
1925,California,Brentwood,Liberty-Union
1925,California,Brentwood,Liberty-Union
1925,California,Brentwood,Liberty-Union
1925,California,Brentwood,Liberty-Union
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,North-Carolina,Lincolnton,Lincolnton
1925,Oklahoma,Norman,University
1925,Oklahoma,Norman,University
1925,Oklahoma,Norman,University
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
1925,Oregon,Portland,Washington
