48842,14,,,,,,,,,,,,,
age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,incomes
39,8,77516,10,13,5,2,2,5,2,2174,0,40,40,1
50,7,83311,10,13,3,5,1,5,2,0,0,13,40,1
38,5,215646,12,9,1,7,2,5,2,0,0,40,40,1
53,5,234721,2,7,3,7,1,3,2,0,0,40,40,1
28,5,338409,10,13,3,11,6,3,1,0,0,40,6,1
37,5,284582,13,14,3,5,6,5,1,0,0,40,40,1
49,5,160187,7,5,4,9,2,3,1,0,0,16,24,1
52,7,209642,12,9,3,5,1,5,2,0,0,45,40,2
31,5,45781,13,14,5,11,2,5,1,14084,0,50,40,2
42,5,159449,10,13,3,5,1,5,2,5178,0,40,40,2
37,5,280464,16,10,3,5,1,3,2,0,0,80,40,2
30,8,141297,10,13,3,11,1,2,2,0,0,40,20,2
23,5,122272,10,13,5,2,4,5,1,0,0,30,40,1
32,5,205019,8,12,5,13,2,3,2,0,0,50,40,1
40,5,121772,9,11,3,4,1,2,2,0,0,40,1,2
34,5,245487,6,4,3,15,1,1,2,0,0,45,27,1
25,7,176756,12,9,5,6,4,5,2,0,0,35,40,1
32,5,186824,12,9,5,8,5,5,2,0,0,40,40,1
38,5,28887,2,7,3,13,1,5,2,0,0,50,40,1
43,7,292175,13,14,1,5,5,5,1,0,0,45,40,2
40,5,193524,11,16,3,11,1,5,2,0,0,60,40,2
54,5,302146,12,9,6,9,5,3,1,0,0,20,40,1
35,2,76845,7,5,3,6,1,3,2,0,0,40,40,1
43,5,117037,2,7,3,15,1,5,2,0,2042,40,40,1
59,5,109015,12,9,1,14,5,5,1,0,0,40,40,1
56,3,216851,10,13,3,14,1,5,2,0,0,40,40,2
19,5,168294,12,9,5,4,4,5,2,0,0,40,40,1
54,1,180211,16,10,3,1,1,2,2,0,0,60,36,2
39,5,367260,12,9,1,5,2,5,2,0,0,80,40,1
49,5,193366,12,9,3,4,1,5,2,0,0,40,40,1
23,3,190709,8,12,5,12,2,5,2,0,0,52,40,1
20,5,266015,16,10,5,13,4,3,2,0,0,44,40,1
45,5,386940,10,13,1,5,4,5,2,0,1408,40,40,1
30,2,59951,16,10,3,2,4,5,2,0,0,40,40,1
22,8,311512,16,10,3,9,1,3,2,0,0,15,40,1
48,5,242406,2,7,5,8,5,5,2,0,0,40,34,1
21,5,197200,16,10,5,8,4,5,2,0,0,40,40,1
19,5,544091,12,9,2,2,6,5,1,0,0,25,40,1
31,5,84154,16,10,3,13,1,5,2,0,0,38,1,2
48,7,265477,8,12,3,11,1,5,2,0,0,40,40,1
31,5,507875,7,5,3,8,1,5,2,0,0,43,40,1
53,7,88506,10,13,3,11,1,5,2,0,0,40,40,1
24,5,172987,10,13,3,14,1,5,2,0,0,50,40,1
49,5,94638,12,9,6,2,5,5,1,0,0,40,40,1
25,5,289980,12,9,5,7,2,5,2,0,0,35,40,1
57,2,337895,10,13,3,11,1,3,2,0,0,40,40,2
53,5,144361,12,9,3,8,1,5,2,0,0,38,40,1
44,5,128354,13,14,1,5,5,5,1,0,0,40,40,1
41,8,101603,9,11,3,4,1,5,2,0,0,40,40,1
29,5,271466,9,11,5,11,2,5,2,0,0,43,40,1
25,5,32275,16,10,3,5,6,4,1,0,0,40,40,1
18,5,226956,12,9,5,9,4,5,1,0,0,30,1,1
47,5,51835,15,15,3,11,6,5,1,0,1902,60,17,2
50,2,251585,10,13,1,5,2,5,2,0,0,55,40,2
47,6,109832,12,9,1,5,2,5,2,0,0,60,40,1
43,5,237993,16,10,3,14,1,5,2,0,0,40,40,2
46,5,216666,5,3,3,8,1,5,2,0,0,40,27,1
35,5,56352,9,11,3,9,1,5,2,0,0,40,34,1
41,5,147372,12,9,3,2,1,5,2,0,0,48,40,1
30,5,188146,12,9,3,8,1,5,2,5013,0,40,40,1
30,5,59496,10,13,3,13,1,5,2,2407,0,40,40,1
32,1,293936,6,4,4,1,2,5,2,0,0,40,1,1
48,5,149640,12,9,3,15,1,5,2,0,0,40,40,1
42,5,116632,11,16,3,11,1,5,2,0,0,45,40,2
29,5,105598,16,10,1,14,2,5,2,0,0,58,40,1
36,5,155537,12,9,3,4,1,5,2,0,0,40,40,1
28,5,183175,16,10,1,2,2,5,1,0,0,40,40,1
53,5,169846,12,9,3,2,6,5,1,0,0,40,40,2
49,6,191681,16,10,3,5,1,5,2,0,0,50,40,2
25,1,200681,16,10,5,1,4,5,2,0,0,40,40,1
19,5,101509,16,10,5,11,4,5,2,0,0,32,40,1
31,5,309974,10,13,6,13,4,3,1,0,0,40,40,1
29,7,162298,10,13,3,13,1,5,2,0,0,70,40,2
23,5,211678,16,10,5,8,2,5,2,0,0,40,40,1
79,5,124744,16,10,3,11,3,5,2,0,0,20,40,1
27,5,213921,12,9,5,9,4,5,2,0,0,40,27,1
40,5,32214,8,12,3,2,1,5,2,0,0,40,40,1
67,1,212759,1,6,3,1,1,5,2,0,0,2,40,1
18,5,309634,2,7,5,9,4,5,1,0,0,22,40,1
31,3,125927,6,4,3,6,1,5,2,0,0,40,40,1
18,5,446839,12,9,5,13,2,5,2,0,0,30,40,1
52,5,276515,10,13,3,9,1,5,2,0,0,40,6,1
46,5,51618,12,9,3,9,6,5,1,0,0,40,40,1
59,5,159937,12,9,3,13,1,5,2,0,0,48,40,1
44,5,343591,12,9,1,4,2,5,1,14344,0,40,40,2
53,5,346253,12,9,1,13,4,5,1,0,0,35,40,1
49,3,268234,12,9,3,12,1,5,2,0,0,40,40,2
33,5,202051,13,14,3,11,1,5,2,0,0,50,40,1
30,5,54334,7,5,5,13,2,5,2,0,0,40,40,1
43,2,410867,11,16,5,11,2,5,1,0,0,50,40,2
57,5,249977,9,11,3,11,1,5,2,0,0,40,40,1
37,5,286730,16,10,1,4,5,5,1,0,0,40,40,1
28,5,212563,16,10,1,8,5,3,1,0,0,25,40,1
30,5,117747,12,9,3,13,6,2,1,0,1573,35,1,1
34,3,226296,10,13,3,12,1,5,2,0,0,40,40,2
29,3,115585,16,10,5,7,2,5,2,0,0,50,40,1
48,7,191277,11,16,3,11,1,5,2,0,1902,60,40,2
37,5,202683,16,10,3,13,1,5,2,0,0,48,40,2
48,5,171095,8,12,1,5,5,5,1,0,0,40,10,1
32,2,249409,12,9,5,9,4,3,2,0,0,40,40,1
76,5,124191,13,14,3,5,1,5,2,0,0,40,40,2
44,5,198282,10,13,3,5,1,5,2,15024,0,60,40,2
47,7,149116,13,14,5,11,2,5,1,0,0,50,40,1
20,5,188300,16,10,5,14,4,5,1,0,0,40,40,1
29,5,103432,12,9,5,4,2,5,2,0,0,40,40,1
32,6,317660,12,9,3,4,1,5,2,7688,0,40,40,2
17,1,304873,1,6,5,1,4,5,1,34095,0,32,40,1
30,5,194901,2,7,5,7,4,5,2,0,0,40,40,1
31,3,189265,12,9,5,2,2,5,1,0,0,40,40,1
42,5,124692,12,9,3,7,1,5,2,0,0,40,40,1
24,5,432376,10,13,5,13,3,5,2,0,0,40,40,1
38,5,65324,15,15,3,11,1,5,2,0,0,40,40,2
56,7,335605,12,9,3,9,1,5,2,0,1887,50,3,2
28,5,377869,16,10,3,13,6,5,1,4064,0,25,40,1
36,5,102864,12,9,5,8,4,5,1,0,0,40,40,1
53,5,95647,7,5,3,7,1,5,2,0,0,50,40,1
56,6,303090,16,10,3,13,1,5,2,0,0,50,40,1
49,3,197371,9,11,3,4,1,3,2,0,0,40,40,2
55,5,247552,16,10,3,13,1,5,2,0,0,56,40,1
22,5,102632,12,9,5,4,2,5,2,0,0,41,40,1
21,5,199915,16,10,5,9,4,5,1,0,0,40,40,1
40,5,118853,10,13,3,5,1,5,2,0,0,60,40,1
30,5,77143,10,13,5,5,4,3,2,0,0,40,12,1
29,8,267989,10,13,3,11,1,5,2,0,0,50,40,2
19,5,301606,16,10,5,9,4,3,2,0,0,35,40,1
47,5,287828,10,13,3,5,6,5,1,0,0,40,40,2
20,5,111697,16,10,5,2,4,5,1,0,1719,28,40,1
31,5,114937,8,12,3,2,1,5,2,0,0,40,40,2
35,1,129305,12,9,3,1,1,5,2,0,0,40,40,1
39,5,365739,16,10,1,4,2,5,2,0,0,40,40,1
28,5,69621,8,12,5,13,2,5,1,0,0,60,40,1
24,5,43323,12,9,5,9,2,5,1,0,1762,40,40,1
38,7,120985,12,9,3,4,1,5,2,4386,0,35,40,1
37,5,254202,10,13,3,13,1,5,2,0,0,50,40,1
46,5,146195,8,12,1,14,2,3,1,0,0,36,40,1
38,2,125933,13,14,3,11,1,5,2,0,0,40,21,2
43,7,56920,12,9,3,4,1,5,2,0,0,60,40,1
27,5,163127,9,11,3,2,6,5,1,0,0,35,40,1
20,5,34310,16,10,5,13,4,5,2,0,0,20,40,1
49,5,81973,16,10,3,4,1,2,2,0,0,40,40,2
61,6,66614,12,9,3,4,1,5,2,0,0,40,40,1
27,5,232782,16,10,5,13,4,5,1,0,0,40,40,1
19,5,316868,16,10,5,9,4,5,2,0,0,30,27,1
45,5,196584,9,11,5,11,2,5,1,0,1564,40,40,2
70,5,105376,16,10,5,14,3,5,2,0,0,40,40,1
31,5,185814,12,9,5,15,5,3,1,0,0,30,40,1
22,5,175374,16,10,3,9,1,5,2,0,0,24,40,1
36,5,108293,12,9,7,9,5,5,1,0,0,24,40,1
64,5,181232,2,7,3,4,1,5,2,0,2179,40,40,1
43,1,174662,16,10,1,1,2,5,1,0,0,40,40,1
47,3,186009,16,10,1,2,5,5,1,0,0,38,27,1
34,5,198183,12,9,5,2,2,5,1,0,0,40,40,1
33,5,163003,10,13,5,5,3,2,1,0,0,40,31,1
21,5,296158,12,9,5,4,4,5,2,0,0,35,40,1
52,1,252903,12,9,1,1,2,5,2,0,0,45,40,2
48,5,187715,12,9,3,4,1,5,2,0,0,46,40,1
23,5,214542,10,13,5,7,2,5,2,0,0,40,40,1
