690,15,,,,,,,,,,,,,,
A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
3,30.83,0.0,3,2,14,9,1.25,2,2,1,1,1,00202,0,1
2,58.67,4.46,3,2,12,5,3.04,2,2,6,1,1,00043,560,1
2,24.50,0.5,3,2,12,5,1.5,2,1,0,1,1,00280,824,1
3,27.83,1.54,3,2,14,9,3.75,2,2,5,2,1,00100,3,1
3,20.17,5.625,3,2,14,9,1.71,2,1,0,1,3,00120,0,1
3,32.08,4.0,3,2,11,9,2.5,2,1,0,2,1,00360,0,1
3,33.17,1.04,3,2,13,5,6.5,2,1,0,2,1,00164,31285,1
2,22.92,11.585,3,2,4,9,0.04,2,1,0,1,1,00080,1349,1
3,54.42,0.5,4,4,10,5,3.96,2,1,0,1,1,00180,314,1
3,42.50,4.915,4,4,14,9,3.165,2,1,0,2,1,00052,1442,1
3,22.08,0.83,3,2,3,5,2.165,1,1,0,2,1,00128,0,1
3,29.92,1.835,3,2,3,5,4.335,2,1,0,1,1,00260,200,1
2,38.25,6.0,3,2,10,9,1.0,2,1,0,2,1,00000,0,1
3,48.08,6.04,3,2,10,9,0.04,1,1,0,1,1,00000,2690,1
2,45.83,10.5,3,2,12,9,5.0,2,2,7,2,1,00000,0,1
3,36.67,4.415,4,4,10,9,0.25,2,2,10,2,1,00320,0,1
3,28.25,0.875,3,2,11,9,0.96,2,2,3,2,1,00396,0,1
2,23.25,5.875,3,2,12,9,3.17,2,2,10,1,1,00120,245,1
3,21.83,0.25,3,2,5,5,0.665,2,1,0,2,1,00000,0,1
2,19.17,8.585,3,2,4,5,0.75,2,2,7,1,1,00096,0,1
3,25.00,11.25,3,2,3,9,2.5,2,2,17,1,1,00200,1208,1
3,23.25,1.0,3,2,3,9,0.835,2,1,0,1,3,00300,0,1
2,47.75,8.0,3,2,3,9,7.875,2,2,6,2,1,00000,1260,1
2,27.42,14.5,3,2,15,5,3.085,2,2,1,1,1,00120,11,1
2,41.17,6.5,3,2,12,9,0.5,2,2,3,2,1,00145,0,1
2,15.83,0.585,3,2,3,5,1.5,2,2,2,1,1,00100,0,1
2,47.00,13.0,3,2,8,2,5.165,2,2,9,2,1,00000,0,1
3,56.58,18.5,3,2,5,2,15.0,2,2,17,2,1,00000,0,1
3,57.42,8.5,3,2,6,5,7.0,2,2,3,1,1,00000,0,1
3,42.08,1.04,3,2,14,9,5.0,2,2,6,2,1,00500,10000,1
3,29.25,14.79,3,2,2,9,5.04,2,2,5,2,1,00168,0,1
3,42.00,9.79,3,2,15,5,7.96,2,2,8,1,1,00000,0,1
3,49.50,7.585,3,2,8,2,7.585,2,2,15,2,1,00000,5000,1
2,36.75,5.125,3,2,6,9,5.0,2,1,0,2,1,00000,4000,1
2,22.58,10.75,3,2,12,9,0.415,2,2,5,2,1,00000,560,1
3,27.83,1.5,3,2,14,9,2.0,2,2,11,2,1,00434,35,1
3,27.25,1.585,3,2,4,5,1.835,2,2,12,2,1,00583,713,1
2,23.00,11.75,3,2,15,5,0.5,2,2,2,2,1,00300,551,1
3,27.75,0.585,4,4,4,9,0.25,2,2,2,1,1,00260,500,1
3,54.58,9.415,3,2,7,4,14.415,2,2,11,2,1,00030,300,1
3,34.17,9.17,3,2,3,9,4.5,2,2,12,2,1,00000,221,1
3,28.92,15.0,3,2,3,5,5.335,2,2,11,1,1,00000,2283,1
3,29.67,1.415,3,2,14,5,0.75,2,2,1,1,1,00240,100,1
3,39.58,13.915,3,2,14,9,8.625,2,2,6,2,1,00070,0,1
3,56.42,28.0,4,4,3,9,28.5,2,2,40,1,1,00000,15,1
3,54.33,6.75,3,2,3,5,2.625,2,2,11,2,1,00000,284,1
2,41.00,2.04,4,4,12,5,0.125,2,2,23,2,1,00455,1236,1
3,31.92,4.46,3,2,4,5,6.04,2,2,3,1,1,00311,300,1
3,41.50,1.54,3,2,8,2,3.5,1,1,0,1,1,00216,0,1
3,23.92,0.665,3,2,3,9,0.165,1,1,0,1,1,00100,0,1
2,25.75,0.5,3,2,3,5,0.875,2,1,0,2,1,00491,0,1
3,26.00,1.0,3,2,12,9,1.75,2,1,0,2,1,00280,0,1
3,37.42,2.04,3,2,14,9,0.04,2,1,0,2,1,00400,5800,1
3,34.92,2.5,3,2,14,9,0.0,2,1,0,2,1,00239,200,1
3,34.25,3.0,3,2,4,5,7.415,2,1,0,2,1,00000,0,1
3,23.33,11.625,4,4,14,9,0.835,2,1,0,2,1,00160,300,1
3,23.17,0.0,3,2,4,9,0.085,2,1,0,1,1,00000,0,1
3,44.33,0.5,3,2,8,5,5.0,2,1,0,2,1,00320,0,1
3,35.17,4.5,3,2,15,5,5.75,1,1,0,2,3,00711,0,1
3,43.25,3.0,3,2,12,5,6.0,2,2,11,1,1,00080,0,1
3,56.75,12.25,3,2,11,9,1.25,2,2,4,2,1,00200,0,1
3,31.67,16.165,3,2,5,9,3.0,2,2,9,1,1,00250,730,1
2,23.42,0.79,4,4,12,9,1.5,2,2,2,2,1,00080,400,1
2,20.42,0.835,3,2,12,9,1.585,2,2,1,1,1,00000,0,1
3,26.67,4.25,3,2,4,9,4.29,2,2,1,2,1,00120,0,1
3,34.17,1.54,3,2,4,9,1.54,2,2,1,2,1,00520,50000,1
2,36.00,1.0,3,2,3,9,2.0,2,2,11,1,1,00000,456,1
3,25.50,0.375,3,2,11,9,0.25,2,2,3,1,1,00260,15108,1
3,19.42,6.5,3,2,14,5,1.46,2,2,7,1,1,00080,2954,1
3,35.17,25.125,3,2,15,5,1.625,2,2,1,2,1,00515,500,1
3,32.33,7.5,3,2,6,2,1.585,2,1,0,2,3,00420,0,2
3,34.83,4.0,3,2,5,2,12.5,2,1,0,2,1,0,0,2
2,38.58,5.0,3,2,4,9,13.5,2,1,0,2,1,00980,0,2
3,44.25,0.5,3,2,11,9,10.75,2,1,0,1,3,00400,0,2
3,44.83,7.0,4,4,3,9,1.625,1,1,0,1,1,00160,2,2
3,20.67,5.29,3,2,12,9,0.375,2,2,1,1,1,00160,0,2
3,34.08,6.5,3,2,2,9,0.125,2,1,0,2,1,00443,0,2
2,19.17,0.585,4,4,2,9,0.585,2,1,0,2,1,00160,0,2
3,21.67,1.165,4,4,10,9,2.5,2,2,1,1,1,00180,20,2
3,21.50,9.75,3,2,3,9,0.25,2,1,0,1,1,00140,0,2
3,49.58,19.0,3,2,7,4,0.0,2,2,1,1,1,00094,0,2
2,27.67,1.5,3,2,11,9,2.0,2,1,0,1,3,00368,0,2
3,39.83,0.5,3,2,11,9,0.25,2,1,0,1,3,00288,0,2
2,0,3.5,3,2,5,9,3.0,2,1,0,2,1,00300,0,2
3,27.25,0.625,3,2,2,9,0.455,2,1,0,2,1,00200,0,2
3,37.17,4.0,3,2,3,2,5.0,2,1,0,2,3,00280,0,2
3,0,0.375,3,2,5,9,0.875,2,1,0,2,3,00928,0,2
3,25.67,2.21,4,4,2,9,4.0,2,1,0,1,1,00188,0,2
3,34.00,4.5,3,2,2,9,1.0,2,1,0,2,1,00240,0,2
2,49.00,1.5,3,2,9,6,0.0,2,1,0,2,1,00100,27,2
3,62.50,12.75,4,4,3,5,5.0,2,1,0,1,1,00112,0,2
3,31.42,15.5,3,2,3,9,0.5,2,1,0,1,1,00120,0,2
3,0,5.0,4,4,2,9,8.5,2,1,0,1,1,00000,0,2
3,52.33,1.375,4,4,3,5,9.46,2,1,0,2,1,00200,100,2
3,28.75,1.5,4,4,3,9,1.5,2,1,0,2,1,00000,225,2
2,28.58,3.54,3,2,8,2,0.5,2,1,0,2,1,00171,0,2
3,23.00,0.625,4,4,2,9,0.125,2,1,0,1,1,00180,1,2
3,0,0.5,3,2,3,2,0.835,2,1,0,2,3,00320,0,2
2,22.50,11.0,4,4,12,9,3.0,2,1,0,2,1,00268,0,2
2,28.50,1.0,3,2,12,9,1.0,2,2,2,2,1,00167,500,2
3,37.50,1.75,4,4,3,2,0.25,2,1,0,2,1,00164,400,2
3,35.25,16.5,4,4,3,9,4.0,2,1,0,1,1,00080,0,2
3,18.67,5.0,3,2,12,9,0.375,2,2,2,1,1,00000,38,2
3,25.00,12.0,3,2,10,9,2.25,2,2,2,2,1,00120,5,2
3,27.83,4.0,4,4,8,5,5.75,2,2,2,2,1,00075,0,2
3,54.83,15.5,3,2,6,10,0.0,2,2,20,1,1,00152,130,2
3,28.75,1.165,3,2,10,9,0.5,2,1,0,1,3,00280,0,2
2,25.00,11.0,4,4,2,9,4.5,2,1,0,1,1,00120,0,2
3,40.92,2.25,4,4,15,5,10.0,2,1,0,2,1,00176,0,2
2,19.75,0.75,3,2,3,9,0.795,2,2,5,2,1,00140,5,2
3,29.17,3.5,3,2,14,9,3.5,2,2,3,2,1,00329,0,2
2,24.50,1.04,4,4,7,4,0.5,2,2,3,1,1,00180,147,2
3,24.58,12.5,3,2,14,9,0.875,2,1,0,2,1,00260,0,2
2,33.75,0.75,3,2,10,2,1.0,2,2,3,2,1,00212,0,2
3,20.67,1.25,4,4,3,5,1.375,2,2,3,2,1,00140,210,2
2,25.42,1.125,3,2,12,9,1.29,2,2,2,1,1,00200,0,2
3,37.75,7.0,3,2,12,5,11.5,2,2,7,2,1,00300,5,2
3,52.50,6.5,3,2,10,9,6.29,2,2,15,1,1,00000,11202,1
3,57.83,7.04,3,2,11,9,14.0,2,2,6,2,1,00360,1332,1
2,20.75,10.335,3,2,4,5,0.335,2,2,1,2,1,00080,50,1
3,39.92,6.21,3,2,12,9,0.04,2,2,1,1,1,00200,300,1
3,25.67,12.5,3,2,4,9,1.21,2,2,67,2,1,00140,258,1
2,24.75,12.5,3,2,2,9,1.5,2,2,12,2,1,00120,567,1
2,44.17,6.665,3,2,12,9,7.375,2,2,3,2,1,00000,0,1
2,23.50,9.0,3,2,12,9,8.5,2,2,5,2,1,00120,0,1
3,34.92,5.0,3,2,15,5,7.5,2,2,6,2,1,00000,1000,1
3,47.67,2.5,3,2,11,2,2.5,2,2,12,2,1,00410,2510,1
3,22.75,11.0,3,2,12,9,2.5,2,2,7,2,1,00100,809,1
3,34.42,4.25,3,2,8,2,3.25,2,2,2,1,1,00274,610,1
2,28.42,3.5,3,2,14,9,0.835,2,1,0,1,3,00280,0,1
3,67.75,5.5,3,2,6,10,13.0,2,2,1,2,1,00000,0,1
3,20.42,1.835,3,2,3,9,2.25,2,2,1,1,1,00100,150,1
2,47.42,8.0,3,2,6,2,6.5,2,2,6,1,1,00375,51100,1
3,36.25,5.0,3,2,3,2,2.5,2,2,6,1,1,00000,367,1
3,32.67,5.5,3,2,12,5,5.5,2,2,12,2,1,00408,1000,1
3,48.58,6.5,3,2,12,5,6.0,2,1,0,2,1,00350,0,1
